"Taxation statistics 2013–14 Individuals: Selected items by state/territory and postcode, 2013–14 income year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,State/Territory1,Number of individuals,Number of individuals with private health insurance,"Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$",Foreign source income other net foreign source income,Foreign source income other net foreign source income,"Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,Net rent - loss no.,Net rent - loss $,"Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - Primary production4 
no.","Total business income - Primary production4 
$","Total business income - Non-primary production4 
no.","Total business income - Non-primary production4 
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Net income or loss from business - Primary production4 
no.","Net income or loss from business - Primary production4 
$","Net income or loss from business - Non-primary production4 
no.","Net income or loss from business - Non-primary production4 
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Net medical expenses over the threshold amount tax offset
no.","Net medical expenses over the threshold amount tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Termination payment tax offset
no.","Termination payment tax offset
$"
2600,ACT,"5,712","4,561","5,647","538,442,817","4,912","151,586,971","4,351","7,448,216",127,"146,407","4,669","152,258,293",344,"1,489,456","3,938","332,671,777",710,"4,992,765",84,"2,859,550",76,"2,984,685",175,"839,202",168,"1,477,468",162,"1,886,259",988,"44,868,640","4,020","13,281,883",826,"1,194,945","2,274","30,615,451","2,269","13,113,133","5,685","565,385,221",999,"2,729,161",515,"902,530",985,"284,288",309,"620,545","2,476","3,396,617",308,"225,499",325,"924,417",380,"1,993,910","2,588","2,766,284","2,718","4,044,583","4,716","25,830,600",356,"6,842,532",829,"10,477,459",46,"-63,778","1,383","66,675,316",715,"8,085,164",35,"1,521,193",8,"233,931",80,"1,322,044",588,"11,758,188",510,"3,476,331",859,"27,072,618",932,"58,862,757",733,"4,091,729",628,"1,252,789",571,"601,532","1,566","42,365,033","1,260","23,338,420",955,"3,841,353","1,582","23,873,037",598,"6,061,711",987,"-14,737,387","1,585","-8,675,676",470,"1,387,278",116,"357,172",247,"6,228,019",389,"1,643,971",27,"1,720,828",385,"68,928,008",414,"70,996,041",407,"38,083,757",35,"-301,724",410,"31,702,462",448,"31,506,205",257,"11,786,208",867,"3,816,922",275,"282,706","1,918","559,392",385,"145,409",131,"926,735"
2601,ACT,"2,777","1,530","2,739","185,714,157","2,028","47,434,463","1,699","2,446,428",59,"73,605","1,935","48,061,308",294,"1,260,178","2,306","148,191,129",351,"2,439,024",31,"977,463",20,"936,409",188,"1,158,732",35,"287,242",42,"382,739",195,"7,904,504","1,848","3,582,271",196,"812,412",498,"8,126,665",496,"3,482,424","2,748","193,642,224",434,"1,038,967",289,"514,975",564,"156,066",247,"704,817","1,142","1,362,410",131,"122,512",84,"112,699",86,"429,400",885,"1,044,420",958,"621,595","1,923","7,228,122",148,"2,634,353",274,"2,369,035",17,"-72,321",265,"9,231,520",139,"1,164,170",11,"74,925",4,"47,763",27,"173,726",142,"2,162,630",119,"620,060",208,"5,357,770",256,"10,216,968",178,"1,327,644",149,"228,884",126,"148,480",546,"13,827,589",447,"6,968,811",359,"1,508,944",554,"7,870,209",208,"1,996,942",346,"-4,519,894",554,"-2,522,952",148,"122,960",44,"198,290",32,"725,900",122,"387,481",11,"513,614",125,"9,194,579",137,"9,715,131",132,"6,693,291",11,"-154,538",130,"3,105,503",142,"2,956,143",75,"859,264",166,"632,370",39,"44,929",918,"275,019",85,"34,042",41,"589,340"
2602,ACT,"19,072","12,831","19,005","1,304,985,641","16,237","303,264,473","14,507","17,839,608",509,"625,012","15,338","307,009,244","1,638","6,605,251","15,410","1,057,178,694","2,220","7,751,894",319,"8,842,512",226,"4,498,245","1,183","6,832,820",913,"7,570,435",460,"3,724,416","2,234","79,210,216","12,976","25,306,903","1,695","1,250,526","5,338","30,471,623","5,324","13,043,890","19,034","1,349,612,755","3,584","6,998,484","1,690","1,917,760","4,294","1,081,810","1,252","2,328,769","9,212","9,129,905",901,"602,957",620,"783,823",676,"2,032,942","8,897","7,185,603","7,771","3,367,863","15,487","43,639,801",932,"16,620,264","2,289","21,241,304",62,"-1,670,652","2,301","45,133,049","1,284","5,823,809",125,"2,311,170",27,"595,465",287,"2,337,210","1,155","22,260,990",990,"7,789,004","1,657","71,264,196","1,709","30,603,091","1,670","7,093,529","1,412","2,608,190","1,263","747,967","3,503","74,315,049","2,906","40,374,027","2,048","6,366,252","3,542","40,147,441","1,289","10,817,460","2,266","-23,390,161","3,555","-12,572,701",926,"1,128,964",285,"1,030,582",281,"5,742,188",930,"2,288,655",65,"712,073","1,212","73,812,940","1,276","74,549,326","1,249","46,127,511",75,"-410,714","1,299","26,788,343","1,371","26,349,341",708,"6,737,774","1,766","5,913,548",632,"583,527","7,715","2,298,210",786,"309,391",459,"3,222,603"
2603,ACT,"6,210","4,867","6,173","721,291,725","5,452","221,690,634","4,949","10,206,982",119,"144,239","5,224","225,617,375",469,"2,026,019","4,592","385,824,428",750,"6,791,026",79,"3,321,948",66,"3,976,097",238,"1,403,906",150,"1,405,523",147,"1,894,617",766,"34,829,467","4,355","14,805,820",815,"2,143,905","2,304","64,751,261","2,302","27,723,781","6,190","749,493,295","1,193","3,253,237",478,"651,164","1,166","341,754",371,"969,583","2,799","3,435,025",317,"240,825",312,"1,680,764",382,"2,821,182","2,735","3,520,698","2,768","2,246,827","5,097","27,521,057",414,"7,799,272",932,"12,006,512",46,"-420,322","1,546","100,779,794",809,"13,205,961",41,"2,099,751",9,"1,239,656",57,"1,238,431",600,"50,808,080",547,"21,218,931",859,"110,384,433",862,"29,006,005",745,"6,172,742",678,"2,885,538",586,"539,400","1,571","48,221,174","1,263","27,086,258",977,"4,447,779","1,594","28,119,954",597,"6,912,020","1,010","-18,344,837","1,607","-11,432,817",530,"762,715",96,"206,950",241,"5,837,103",437,"2,452,172",24,"800,421",432,"96,253,356",453,"97,053,777",445,"53,576,431",32,"-1,127,630",450,"43,989,812",476,"42,862,182",313,"16,450,924",659,"2,924,722",254,"294,808","2,044","605,486",384,"148,338",132,"1,428,425"
2604,ACT,"7,205","5,238","7,165","590,075,489","6,346","151,089,994","5,639","8,015,355",202,"293,236","6,102","154,362,532",835,"3,740,669","5,979","501,643,762","1,104","4,608,740",104,"2,528,190",88,"1,426,206",276,"1,395,204",205,"1,800,629",139,"1,171,788",664,"25,784,653","4,856","9,342,651",681,"921,743","1,981","15,125,044","1,970","6,470,194","7,181","612,893,358","1,646","3,547,180",746,"994,621","1,771","519,105",560,"1,244,143","3,873","4,293,291",410,"294,289",237,"735,750",270,"1,135,838","3,135","2,500,060","3,307","1,843,331","6,098","20,997,147",682,"12,079,490",826,"8,090,746",20,"-99,200",966,"21,987,088",556,"3,334,068",40,"831,417",3,"93,939",93,"1,173,328",502,"6,854,805",432,"2,018,198",696,"18,118,822",725,"19,041,962",694,"3,944,786",599,"1,811,159",529,"517,755","1,974","45,657,680","1,727","25,927,955","1,231","4,459,194","2,001","25,550,087",598,"5,544,630","1,403","-15,824,186","2,001","-10,279,556",450,"514,169",106,"235,062",96,"2,050,367",410,"1,786,187",20,"323,412",351,"28,154,856",377,"28,861,320",364,"17,125,164",29,"-210,363",377,"11,311,218",412,"11,015,083",215,"3,455,954",510,"1,936,415",216,"218,405","2,532","708,148",317,"120,186",168,"1,081,737"
2605,ACT,"7,433","5,682","7,399","583,333,198","6,398","147,338,826","5,734","8,006,044",159,"205,822","6,024","147,063,094",324,"1,301,563","5,419","422,986,999",938,"3,621,157",131,"3,789,215",86,"2,009,670",222,"1,258,347",451,"3,475,937",215,"1,853,160","1,379","52,263,558","5,146","13,513,947",967,"1,153,839","2,920","23,183,617","2,914","9,931,093","7,408","605,826,898","1,434","2,910,831",600,"624,904","1,547","396,557",387,"918,193","3,484","3,917,957",349,"217,772",343,"570,337",443,"1,604,401","3,676","3,635,882","3,511","1,764,911","6,146","21,911,402",630,"11,571,208","1,085","12,402,269",30,"-181,590","1,286","31,097,569",748,"3,251,465",42,"909,067",9,"80,421",73,"635,345",623,"8,560,730",526,"2,647,456",908,"20,593,663",935,"17,494,353",905,"3,512,299",769,"954,178",703,"526,907","1,612","36,732,224","1,302","19,564,779","1,001","3,011,306","1,634","20,635,452",603,"5,585,742","1,039","-12,065,055","1,642","-6,479,313",411,"663,058",123,"139,066",156,"3,563,691",520,"1,723,800",29,"963,261",420,"51,215,390",444,"52,178,651",430,"29,413,399",33,"-425,323",443,"22,553,704",469,"22,128,381",293,"7,164,923","1,153","4,213,511",366,"359,171","2,852","863,350",424,"165,454",194,"1,496,604"
2606,ACT,"5,902","3,830","5,880","403,453,334","5,087","94,019,823","4,553","5,514,975",119,"144,564","4,813","94,532,444",374,"1,542,847","4,691","314,129,471",876,"2,621,819",94,"2,397,534",69,"1,088,900",261,"1,409,343",370,"3,005,584",110,"1,301,062",694,"23,925,432","3,852","6,958,801",549,"419,374","1,522","9,563,882","1,521","4,098,717","5,884","418,744,144","1,250","2,610,463",469,"525,988","1,771","461,980",406,"949,223","2,928","3,097,849",260,"171,378",211,"345,214",223,"550,180","2,428","1,697,645","2,530","1,087,759","4,797","15,116,131",527,"9,071,150",694,"7,182,681",13,"-95,532",775,"25,213,446",400,"1,833,774",41,"1,183,944",9,"154,155",60,"773,835",336,"8,317,759",281,"2,760,984",473,"18,528,656",544,"8,960,967",485,"2,123,564",395,"337,172",353,"421,298","1,052","26,390,730",879,"14,987,419",643,"2,462,818","1,075","14,467,465",360,"3,989,004",717,"-9,515,976","1,077","-5,526,972",303,"560,840",70,"198,262",97,"2,353,669",289,"1,214,741",17,"404,006",296,"31,788,759",312,"32,192,765",297,"20,500,199",23,"-91,817",318,"11,263,148",339,"11,171,331",198,"3,419,014",555,"1,909,298",191,"166,563","2,554","775,252",297,"116,325",133,"1,179,016"
2607,ACT,"9,244","6,825","9,204","646,705,959","7,876","153,981,975","7,065","8,939,415",154,"195,428","7,372","153,028,521",360,"1,338,020","6,686","473,924,012","1,128","4,319,512",158,"5,131,244",107,"3,112,679",284,"1,478,084",586,"4,258,518",237,"1,914,775","1,598","60,358,370","6,142","14,624,484","1,093","986,575","3,272","23,860,996","3,269","10,217,711","9,214","671,366,787","1,945","4,122,082",664,"832,446","2,205","541,040",493,"967,360","4,142","4,442,248",427,"331,332",394,"420,039",500,"1,678,976","4,340","3,070,707","4,241","1,964,448","7,556","24,181,991",630,"11,782,265","1,191","12,020,345",31,"17,901","1,499","31,896,824",795,"3,241,857",56,"2,148,577",4,"11,809",99,"812,563",683,"9,546,929",568,"2,785,510",998,"23,163,450","1,099","22,157,203",951,"3,364,289",761,"831,500",687,"177,820","1,966","46,638,795","1,612","26,323,891","1,268","4,520,578","1,995","25,102,378",702,"6,804,653","1,299","-16,112,705","2,001","-9,308,052",466,"505,411",109,"267,050",192,"3,970,785",575,"1,767,646",19,"104,235",570,"50,093,516",588,"50,197,751",561,"28,050,833",24,"-98,660",594,"21,733,709",616,"21,635,049",350,"6,028,729","1,338","4,864,745",467,"424,617","3,906","1,170,403",548,"214,840",230,"2,212,028"
2609,ACT,597,282,591,"39,422,085",511,"9,625,170",453,"546,405",10,"19,862",478,"9,891,446",18,"91,519",468,"25,595,613",96,"819,336",5,"69,927",10,"102,032",41,"284,184",33,"368,524",5,"78,405",27,"855,599",294,"454,644",28,"13,074",103,"3,957,407",102,"1,695,977",594,"40,899,643",142,"410,792",45,"111,923",264,"84,623",24,"41,160",281,"235,745",12,"4,612",8,757,9,"73,823",188,"101,764",301,"153,814",498,"1,463,517",20,"242,579",61,"417,836",11,"-34,743",104,"4,971,073",30,"362,625",6,"26,103",2,"588,379",7,"90,774",16,"264,200",11,"88,348",28,"1,748,146",41,"2,920,640",34,"175,566",22,"24,136",23,"26,177",92,"2,753,191",82,"1,487,718",50,"166,060",90,"1,198,494",40,"464,588",54,"-563,669",94,"-99,081",58,"86,357",14,"64,746",9,"160,583",25,"80,554",14,"307,358",46,"6,443,470",60,"6,752,903",58,"5,773,676",14,"-612,218",48,"1,025,897",62,"395,069",34,"246,029",22,"63,778",13,"12,600",299,"92,695",60,"26,537",13,"15,475"
2611,ACT,"15,452","11,531","15,408","1,041,902,505","13,375","237,093,408","12,106","14,426,580",265,"292,234","12,527","236,364,075",688,"2,729,912","11,747","822,831,718","1,809","6,833,092",280,"6,575,993",181,"3,366,100",524,"2,792,290","1,118","8,413,454",405,"3,087,864","2,634","95,511,706","10,329","19,072,219","1,632","1,029,294","5,253","21,424,648","5,245","9,165,049","15,425","1,078,936,575","3,294","6,793,900","1,222","1,373,010","3,909","918,971",821,"1,515,375","7,403","7,215,270",682,"422,412",554,"613,535",618,"1,948,718","7,587","4,958,939","7,057","3,051,963","12,972","36,340,659",943,"16,641,239","1,927","17,982,399",66,"-305,666","2,099","39,992,112","1,114","4,685,162",105,"1,857,799",20,"408,813",190,"2,293,657",980,"9,727,002",809,"2,556,765","1,430","22,695,337","1,638","27,281,152","1,408","4,570,440","1,171","1,308,680","1,059","310,203","2,805","58,372,510","2,336","31,953,816","1,776","5,409,717","2,850","31,897,417",982,"8,239,726","1,881","-19,125,664","2,863","-10,885,938",765,"1,377,810",170,"496,167",259,"5,230,963",952,"2,117,173",58,"1,663,945",921,"60,960,102",975,"62,624,047",947,"40,856,939",67,"-313,337",968,"20,756,588","1,028","20,443,251",553,"4,907,526","2,149","7,518,007",771,"645,602","6,455","1,917,337","1,004","397,272",407,"2,856,818"
